iter	Passed	Remaining
560	1910	1495
561	1913	1491
562	1917	1488
563	1921	1485
564	1924	1481
565	1927	1478
566	1931	1474
567	1936	1472
568	1940	1469
569	1947	1469
570	1950	1465
571	1953	1461
572	1956	1458
573	1960	1454
574	1963	1451
575	1966	1447
576	1970	1444
577	1973	1440
578	1976	1437
579	1981	1434
580	1984	1431
581	1988	1428
582	1991	1424
583	1996	1421
584	1999	1418
585	2003	1415
586	2006	1411
587	2010	1408
588	2013	1405
589	2017	1401
590	2020	1398
591	2023	1394
592	2027	1391
593	2030	1388
594	2034	1384
595	2038	1381
596	2042	1378
597	2045	1375
598	2049	1371
599	2052	1368
600	2056	1365
601	2060	1362
602	2064	1359
603	2068	1355
604	2071	1352
605	2075	1349
606	2079	1346
607	2082	1342
608	2086	1339
609	2089	1336
610	2093	1332
611	2097	1329
612	2100	1326
613	2104	1323
614	2108	1319
615	2112	1316
616	2116	1313
617	2119	1310
618	2123	1307
619	2127	1303
620	2130	1300
621	2134	1297
622	2137	1293
623	2141	1290
624	2145	1287
625	2149	1283
626	2152	1280
627	2156	1277
628	2160	1274
629	2163	1270
630	2167	1267
631	2171	1264
632	2174	1260
633	2178	1257
634	2181	1254
635	2185	1250
636	2188	1247
637	2192	1244
638	2196	1240
639	2200	1237
640	2203	1234
641	2207	1230
642	2210	1227
643	2214	1224
644	2218	1220
645	2221	1217
646	2225	1214
647	2228	1210
648	2232	1207
649	2235	1203
650	2240	1200
651	2243	1197
652	2247	1194
653	2250	1190
654	2254	1187
655	2258	1184
656	2261	1180
657	2265	1177
658	2269	1174
659	2273	1171
660	2276	1167
661	2280	1164
662	2284	1161
663	2287	1157
664	2291	1154
665	2295	1151
666	2299	1147
667	2302	1144
668	2306	1141
669	2310	1137
670	2314	1134
671	2318	1131
672	2321	1128
673	2325	1124
674	2328	1121
675	2332	1117
676	2335	1114
677	2338	1110
678	2342	1107
679	2345	1103
680	2348	1100
681	2351	1096
682	2355	1093
683	2358	1089
684	2361	1086
685	2365	1082
686	2368	1079
687	2372	1075
688	2375	1072
689	2378	1068
690	2381	1065
691	2384	1061
692	2388	1058
693	2392	1054
694	2395	1051
695	2399	1047
696	2402	1044
697	2406	1041
698	2409	1037
699	2412	1034
700	2416	1030
701	2420	1027
702	2423	1023
703	2426	1020
704	2430	1016
705	2433	1013
706	2437	1010
707	2440	1006
708	2444	1003
709	2447	999
710	2451	996
711	2454	992
712	2458	989
713	2461	985
714	2464	982
715	2467	978
716	2470	975
717	2474	971
718	2477	968
719	2480	964
720	2484	961
721	2487	957
722	2490	954
723	2494	950
724	2497	947
725	2500	943
726	2504	940
727	2507	936
728	2511	933
729	2514	930
730	2517	926
731	2520	922
732	2524	919
733	2527	916
734	2531	912
735	2534	909
736	2537	905
737	2541	902
738	2544	898
739	2548	895
740	2551	891
741	2554	888
742	2558	884
743	2561	881
744	2564	877
745	2567	874
746	2571	870
747	2575	867
748	2578	864
749	2581	860
750	2584	857
751	2588	853
752	2591	849
753	2594	846
754	2597	842
755	2601	839
756	2604	836
757	2608	832
758	2611	829
759	2615	825
760	2618	822
761	2621	818
762	2624	815
763	2628	811
764	2631	808
765	2634	804
766	2637	801
767	2640	797
768	2644	794
769	2647	790
770	2650	787
771	2653	783
772	2657	780
773	2660	776
774	2663	773
775	2667	769
776	2670	766
777	2674	763
778	2677	759
779	2680	756
780	2684	752
781	2687	749
782	2690	745
783	2694	742
784	2697	738
785	2701	735
786	2704	731
787	2708	728
788	2712	725
789	2716	722
790	2719	718
791	2722	715
792	2726	711
793	2729	708
794	2732	704
795	2736	701
796	2739	697
797	2742	694
798	2746	690
799	2749	687
800	2752	683
801	2756	680
802	2759	676
803	2762	673
804	2766	670
805	2769	666
806	2772	663
807	2775	659
808	2779	656
809	2782	652
810	2786	649
811	2789	645
812	2792	642
813	2795	638
814	2799	635
815	2802	631
816	2805	628
817	2808	624
818	2812	621
819	2815	617
820	2818	614
821	2822	611
822	2825	607
823	2829	604
824	2832	600
825	2835	597
826	2839	593
827	2842	590
828	2846	587
829	2849	583
830	2853	580
831	2856	576
832	2859	573
833	2862	569
834	2866	566
835	2869	562
836	2872	559
837	2875	555
838	2878	552
839	2881	548
840	2885	545
841	2888	542
842	2891	538
843	2895	535
844	2898	531
845	2902	528
846	2905	524
847	2909	521
848	2912	518
849	2916	514
850	2919	511
851	2922	507
852	2926	504
853	2929	500
854	2932	497
855	2935	493
856	2939	490
857	2942	486
858	2945	483
859	2949	480
860	2953	476
861	2957	473
862	2960	470
863	2964	466
864	2967	463
865	2971	459
866	2974	456
867	2977	452
868	2980	449
869	2984	445
870	2987	442
871	2990	439
872	2994	435
873	2997	432
874	3001	428
875	3004	425
876	3007	421
