iter	Passed	Remaining
886	4412	562
887	4418	557
888	4423	552
889	4427	547
890	4431	542
891	4435	537
892	4442	532
893	4446	527
894	4451	522
895	4456	517
896	4459	512
897	4464	507
898	4469	502
899	4473	497
900	4477	491
901	4484	487
902	4490	482
903	4495	477
904	4499	472
905	4503	467
906	4507	462
907	4514	457
908	4518	452
909	4522	447
910	4526	442
911	4530	437
912	4534	432
913	4538	427
914	4544	422
915	4551	417
916	4556	412
917	4560	407
918	4564	402
919	4568	397
920	4573	392
921	4577	387
922	4583	382
923	4588	377
924	4597	372
925	4601	367
926	4604	362
927	4608	357
928	4613	352
929	4618	347
930	4622	342
931	4626	337
932	4631	332
933	4637	327
934	4643	322
935	4648	317
936	4652	312
937	4657	307
938	4663	302
939	4667	297
940	4672	292
941	4678	288
942	4683	283
943	4689	278
944	4693	273
945	4697	268
946	4701	263
947	4705	258
948	4711	253
949	4716	248
950	4720	243
951	4725	238
952	4730	233
953	4734	228
954	4739	223
955	4744	218
956	4748	213
957	4753	208
958	4757	203
959	4761	198
960	4765	193
961	4770	188
962	4775	183
963	4779	178
964	4784	173
965	4790	168
966	4794	163
967	4799	158
968	4804	153
969	4809	148
970	4813	143
971	4817	138
972	4822	133
973	4826	128
974	4831	123
975	4839	119
976	4843	114
977	4847	109
978	4852	104
979	4855	99
980	4860	94
981	4864	89
982	4870	84
983	4875	79
984	4882	74
985	4886	69
986	4890	64
987	4894	59
988	4899	54
989	4904	49
990	4908	44
991	4912	39
992	4917	34
993	4922	29
994	4927	24
995	4932	19
996	4937	14
997	4940	9
998	4945	4
999	4949	0
